BLDG_NM,THING_AMT,address,latitude,longitude,THING_AMT_KOR
극동1,330000,서울특별시 광진구 광장동 0218-0001 극동1,37.5431587122415,127.104188607133,33억
극동2,300000,서울특별시 광진구 광장동 0218-0001 극동2,37.5431587122415,127.104188607133,30억
극동하이빌(209-4),32500,서울특별시 광진구 구의동 0209-0004 극동하이빌(209-4),37.5406579606106,127.091731845958,3억 2천
극동하이츠빌라(가),26500,서울특별시 광진구 군자동 0063-0000 극동하이츠빌라(가),37.5546238425608,127.074519870317,2억 6천
금강KCC,131000,서울특별시 광진구 자양동 0791-0000 금강KCC,37.5376407510953,127.074350784543,13억 1천
금강빌라(147-66),30000,서울특별시 광진구 중곡동 0147-0066 금강빌라(147-66),37.5608897864169,127.089138189637,3억
금강주택,24500,서울특별시 광진구 중곡동 0259-0009 금강주택,37.5603879579245,127.079913809349,2억 4천
금선빌라트(가),55000,서울특별시 광진구 능동 0314-0009 금선빌라트(가),37.5520388956377,127.077847043839,5억 5천
금성빌라,55000,서울특별시 광진구 중곡동 0255-0021 금성빌라,37.5620763231484,127.078046389533,5억 5천
금성주택(241-32),15850,서울특별시 광진구 구의동 0241-0032 금성주택(241-32),37.5406756766857,127.08689194712,1억 5천
금성하이빌,46000,서울특별시 광진구 구의동 0237-0016 금성하이빌,37.5433228724601,127.085576763658,4억 6천
금호베스트빌,99800,서울특별시 광진구 광장동 0578-0000 금호베스트빌,37.5437532629126,127.094011537775,9억 9천
금호연립나동,73000,서울특별시 광진구 자양동 0590-0002 금호연립나동,37.5303638060315,127.074227710021,7억 3천
금화센스빌,41800,서울특별시 광진구 구의동 0551-0004 금화센스빌,37.5557138201096,127.095041616348,4억 1천
금화아트빌,29700,서울특별시 광진구 중곡동 0091-0046 금화아트빌,37.5554513193852,127.089203689591,2억 9천
까사리버,88000,서울특별시 광진구 자양동 0202-0036 까사리버,37.5353071672498,127.061319497564,8억 8천
까사밀라,39750,서울특별시 광진구 구의동 0057-0015 까사밀라,37.5502284863456,127.092622416545,3억 9천
나경그린빌,38500,서울특별시 광진구 구의동 0045-0005 나경그린빌,37.551099820517,127.09435596451,3억 8천
나경빌,29700,서울특별시 광진구 중곡동 0147-0101 나경빌,37.5608897864169,127.089138189637,2억 9천
나경타운,24000,서울특별시 광진구 중곡동 0123-0038 나경타운,37.5563791130262,127.087590131627,2억 4천
나경타운(22-29),35500,서울특별시 광진구 구의동 0022-0029 나경타운(22-29),37.553730557257,127.094913817698,3억 5천
나래빌Ⅲ,17900,서울특별시 광진구 중곡동 0106-0036 나래빌Ⅲ,37.5557421608662,127.093284969159,1억 7천
나래아트빌,59500,서울특별시 광진구 군자동 0465-0024 나래아트빌,37.5574116297467,127.074072431115,5억 9천
나폴리움,44000,서울특별시 광진구 광장동 0350-0003 나폴리움,37.5489313232751,127.105201985698,4억 4천
남양빌라,31800,서울특별시 광진구 구의동 0251-0090 남양빌라,37.5401267469677,127.084085638595,3억 1천
네모하우스(218-38),54800,서울특별시 광진구 자양동 0218-0038 네모하우스(218-38),37.536346904238,127.081337641224,5억 4천
네스빌(646-21),60500,서울특별시 광진구 중곡동 0646-0021 네스빌(646-21),37.5592708390229,127.079607145815,6억
노블레스 빌,17000,서울특별시 광진구 능동 0255-0018 노블레스 빌,37.5536993571029,127.087359522177,1억 7천
누리마루,43500,서울특별시 광진구 중곡동 0235-0029 누리마루,37.5651858343029,127.077509726431,4억 3천
뉴씨티빌,40000,서울특별시 광진구 구의동 0210-0065 뉴씨티빌,37.5397838122617,127.091729869844,4억
뉴월드맨션,17000,서울특별시 광진구 구의동 0051-0013 뉴월드맨션,37.5529771161679,127.091524112146,1억 7천
뉴청광휴먼빌,45000,서울특별시 광진구 구의동 0061-0011 뉴청광휴먼빌,37.5470224038429,127.090609396513,4억 5천
뉴페리온,44500,서울특별시 광진구 자양동 0611-0034 뉴페리온,37.5351596346249,127.076516361039,4억 4천
뉴현대빌라(688),40000,서울특별시 광진구 자양동 0688-0000 뉴현대빌라(688),37.531689104161,127.088222425316,4억
늘푸른하우스,49000,서울특별시 광진구 자양동 0775-0012 늘푸른하우스,37.5379274236169,127.080571204012,4억 9천
능동벨류,34000,서울특별시 광진구 능동 0253-0026 능동벨류,37.5525695687959,127.086293849238,3억 4천
다베로,56000,서울특별시 광진구 중곡동 0199-0001 다베로,37.5701872700215,127.083443756537,5억 6천
다성리버텔,24000,서울특별시 광진구 구의동 0218-0012 다성리버텔,37.5389649266995,127.092725704127,2억 4천
다성파크빌리지,26000,서울특별시 광진구 구의동 0649-0007 다성파크빌리지,37.5430891569313,127.081886636729,2억 6천
다성피렌체,38300,서울특별시 광진구 중곡동 0018-0132 다성피렌체,37.5647691618507,127.088116654614,3억 8천
다솜,40000,서울특별시 광진구 자양동 0653-0027 다솜,37.5320609768228,127.081275738807,4억
다우그린빌,56700,서울특별시 광진구 군자동 0039-0001 다우그린빌,37.5561968156028,127.074644004619,5억 6천
다우쉐르빌,65000,서울특별시 광진구 자양동 0230-0027 다우쉐르빌,37.5358402349662,127.079405841231,6억 5천
다우하우스,27150,서울특별시 광진구 중곡동 0035-0003 다우하우스,37.5620541594342,127.086082042717,2억 7천
대경펠리스,39300,서울특별시 광진구 중곡동 0150-0335 대경펠리스,37.561380430089,127.088471338167,3억 9천
대광빌리지(150-382),19700,서울특별시 광진구 중곡동 0150-0382 대광빌리지(150-382),37.5610006025343,127.085367446153,1억 9천
대교빌라,88194,서울특별시 광진구 자양동 0686-0005 대교빌라,37.5310063455932,127.08685832769,8억 8천
대동,99900,서울특별시 광진구 자양동 0784-0001 대동,37.5364211918477,127.06832734047,9억 9천
대명리치빌,59700,서울특별시 광진구 자양동 0596-0004 대명리치빌,37.5309854918331,127.078009909002,5억 9천
대명이튼캐슬,56750,서울특별시 광진구 능동 0380-0000 대명이튼캐슬,37.5532207874978,127.079925507868,5억 6천
대명하이츠,31000,서울특별시 광진구 구의동 0021-0009 대명하이츠,37.553834506495,127.096391621696,3억 1천
대성리센츠빌,18000,서울특별시 광진구 구의동 0025-0006 대성리센츠빌,37.5528637518809,127.094296058295,1억 8천
대성아트빌라,25500,서울특별시 광진구 구의동 0218-0029 대성아트빌라,37.5389306527036,127.093229171853,2억 5천
대성예가,60000,서울특별시 광진구 구의동 0050-0005 대성예가,37.5519120524781,127.091864690173,6억
대양샤인빌,90000,서울특별시 광진구 자양동 0684-0000 대양샤인빌,37.5326927895616,127.088020636314,9억
대영아트빌(138-24),48500,서울특별시 광진구 중곡동 0138-0024 대영아트빌(138-24),37.5585447339642,127.083252968923,4억 8천
대웅아트빌라,34000,서울특별시 광진구 중곡동 0134-0029 대웅아트빌라,37.5568426793768,127.084494646998,3억 4천
대원빌15차,64300,서울특별시 광진구 자양동 0599-0010 대원빌15차,37.5313437633276,127.076024390096,6억 4천
대원빌19차,90000,서울특별시 광진구 자양동 0227-0071 대원빌19차,37.5376103609212,127.075104535493,9억
대원빌9차,45500,서울특별시 광진구 자양동 0603-0002 대원빌9차,37.5320497274074,127.076952272319,4억 5천
대원스마트빌(340-41),48000,서울특별시 광진구 중곡동 0340-0041 대원스마트빌(340-41),37.5604867404133,127.083638247228,4억 8천
대원스마트빌(50-29),44300,서울특별시 광진구 중곡동 0050-0029 대원스마트빌(50-29),37.5599807202991,127.08353978073,4억 4천
대원스마트빌(97-5),45500,서울특별시 광진구 중곡동 0097-0005 대원스마트빌(97-5),37.5551562829899,127.091622068749,4억 5천
대원캐슬5차A동,71000,서울특별시 광진구 자양동 0624-0013 대원캐슬5차A동,37.5347047018493,127.081524804745,7억 1천
대원캐슬빌,67000,서울특별시 광진구 자양동 0624-0045 대원캐슬빌,37.5347047018493,127.081524804745,6억 7천
대원캐슬빌7차,55000,서울특별시 광진구 자양동 0218-0019 대원캐슬빌7차,37.5360299543392,127.082087102121,5억 5천
대원캐슬빌8차B동,44800,서울특별시 광진구 자양동 0218-0005 대원캐슬빌8차B동,37.5359680285364,127.081866516812,4억 4천
대현빌라,33000,서울특별시 광진구 구의동 0254-0009 대현빌라,37.5436538144656,127.084064592414,3억 3천
더 라움 펜트하우스,95000,서울특별시 광진구 자양동 0002-0003 더 라움 펜트하우스,37.5385008002809,127.069392147697,9억 5천
더라임,69000,서울특별시 광진구 군자동 0117-0042 더라임,37.5544414660132,127.072076082914,6억 9천
더리안,71000,서울특별시 광진구 중곡동 0093-0044 더리안,37.5543079515444,127.088967608838,7억 1천
더샵스타시티,300000,서울특별시 광진구 자양동 0227-0007 더샵스타시티,37.5378031898538,127.072632021718,30억
더샵팰리스,27000,서울특별시 광진구 중곡동 0210-0012 더샵팰리스,37.5696153756692,127.082722067894,2억 7천
더스위트자양,124000,서울특별시 광진구 자양동 0202-0034 더스위트자양,37.5354155864065,127.061264033094,12억 4천
더엠하우스,50500,서울특별시 광진구 군자동 0130-0023 더엠하우스,37.5538708824275,127.071750280082,5억
